ID,BndCd,Z,VAr,CAr,Curv,EdgL,Slp,FWidth,Aspect,SV,LV,AvSM,AvRtM,HOccr,HRt,SbOccr,SbRt,POccr,PRt,SatOccr,SatRt,SoiSatOccr,RchDsch,AvET,EvpFrct,cET,cEsoil,cLHF,cMelt,cSHF,cPHF,cRLIn,cRLo,cRSIn,cGHF,cUErr,cHrsSun,cHrsSnow,persTime,peakWE,initTime,peakTime,cIntSub,cSnSub,cSnEvap,cIntUnl,AvCanStorParam,AvIntercCoeff,AvTF,AvCanFieldCap,AvDrainCoeff,AvDrainExpPar,AvLUAlb,AvVegHeight,AvOTCoeff,AvStomRes,AvVegFract,AvLeafAI,AvEvapThresh,AvTransThresh,Bedrock_Depth_mm,Ks,ThetaS,ThetaR,PoreSize,AirEBubPress,DecayF,SatAnRatio,UnsatAnRatio,Porosity,VolHeatCond,SoilHeatCap,SoilID,LandUseID,weight
25.0,0,758.6,2920.671,0.002920671,-0.621884,48.2808,0.621884,47.4221,2.739,0.9245927,0,0.5683,0.7514,13,33.0,0,0,0,0,0,0,15,0.0509,0.03989,0.2471,58.81,24.16,0,0,0,0,0,0,1950878000.0,0,0,1104,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1211.025,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0005187470664549606
26.0,0,770.3,2811.12,0.00281112,-0.652529,55.1365,0.652529,44.0475,2.447,0.9187372,0,0.5647,0.7429,13,32.4,0,0,0,0,0,0,15,0.0497,0.04005,0.2483,58.38,24.22,0,0,0,0,0,0,1950878000.0,0,0,1104,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1230.146,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0004992894624053407
27.0,0,679.9,4164.415,0.004164415,-0.57564,84.5233,0.57564,56.7344,1.728,0.9333333,0,0.5682,0.7517,13,33.6,0,0,0,0,0,0,15,0.0593,0.03957,0.2458,57.21,23.53,0,0,0,0,0,0,1950878000.0,0,0,1012,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1211.651,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0007396512872388006
28.0,0,406.3,1185.909,0.001185909,-0.190598,23.5822,0.190598,26.1416,1.875,0.9911583,0,0.4597,0.5252,13,33.7,0,0,0,0,0,0,16,0.0149,0.04481,0.283,67.3,22.99,0,0,0,0,0,0,1950878000.0,0,0,1186,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,2077.549,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,1,0.00021063201395588068
29.0,0,654.9,3872.107,0.003872107,-0.707057,86.7631,0.707057,15.6156,2.35,0.9082579,0,0.571,0.7574,13,31.9,0,0,0,0,0,0,15,0.0568,0.04025,0.2479,58.9,24.56,0,0,0,0,0,0,1950878000.0,0,0,1012,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1197.239,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0006877337937924944
30.0,0,632.2,3337.116,0.003337116,-0.741863,51.9921,0.741863,70.277,1.824,0.9015629,0,0.5705,0.7566,13,31.3,0,0,0,0,0,0,15,0.0666,0.04036,0.2474,57.98,24.45,0,0,0,0,0,0,1950878000.0,0,0,1012,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1199.947,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0005927128168218579
31.0,0,407.8,1632.33,0.00163233,-0.178434,28.6835,0.178434,25.4213,2.261,0.9922255,0,0.4603,0.526,13,33.8,0,0,0,0,0,0,16,0.0139,0.04477,0.2825,67.45,23.15,0,0,0,0,0,0,1950878000.0,0,0,1196,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,2070.0,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,1,0.00028992187034637787
32.0,0,780.1,3463.008,0.003463008,-0.726004,101.595,0.726004,13.609,2.081,0.904612,0,0.5676,0.75,13,31.4,0,0,0,0,0,0,15,0.0604,0.04027,0.2482,57.86,24.39,0,0,0,0,0,0,1950878000.0,0,0,1012,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1214.767,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0006150727833124854
33.0,0,409.5,2320.706,0.002320706,-0.191766,32.6629,0.191766,22.6035,2.787,0.9910525,0,0.4634,0.5303,13,33.8,0,0,0,0,0,0,16,0.0139,0.04467,0.2809,67.24,23.37,0,0,0,0,0,0,1950878000.0,0,0,1196,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,2033.882,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,3,1,0.0004121859085136347
34.0,0,776.9,3568.106,0.003568106,-0.834605,84.4607,0.834605,41.2836,2.562,0.8838705,0,0.5692,0.7529,13,29.7,0,0,0,0,0,0,15,0.0558,0.04084,0.2514,59.25,25.39,0,0,0,0,0,0,1950878000.0,0,0,1012,0,0,0,0,2207,0,0,0,0,-9999,-9999,0.7,1.5,1.0,4.7,0.18,1.0,0.4,200,0.3,1.5,0.4,0.1,1206.707,20,0.41,0.05,0.5,-300,0.002,1,1,0.4,0.7,1400000,1,1,0.0006337394798319783
